vector	position	Fcount	Rcount	sum
pK184	1	0	0	0
pK184	2	0	0	0
pK184	3	0	0	0
pK184	4	0	0	0
pK184	5	0	0	0
pK184	6	0	0	0
pK184	7	0	0	0
pK184	8	0	0	0
pK184	9	0	0	0
pK184	10	0	0	0
pK184	11	0	0	0
pK184	12	0	0	0
pK184	13	0	0	0
pK184	14	0	0	0
pK184	15	0	0	0
pK184	16	0	0	0
pK184	17	0	0	0
pK184	18	0	0	0
pK184	19	0	0	0
pK184	20	0	0	0
pK184	21	0	0	0
pK184	22	0	0	0
pK184	23	0	0	0
pK184	24	0	0	0
pK184	25	0	0	0
pK184	26	0	0	0
pK184	27	0	0	0
pK184	28	0	0	0
pK184	29	0	0	0
pK184	30	0	0	0
pK184	31	0	0	0
pK184	32	0	0	0
pK184	33	0	0	0
pK184	34	0	0	0
pK184	35	0	0	0
pK184	36	0	0	0
pK184	37	0	0	0
pK184	38	0	0	0
pK184	39	0	0	0
pK184	40	0	0	0
pK184	41	0	0	0
pK184	42	0	0	0
pK184	43	0	0	0
pK184	44	0	0	0
pK184	45	0	0	0
pK184	46	0	0	0
pK184	47	0	0	0
pK184	48	0	0	0
pK184	49	1	0	1
pK184	50	0	0	0
pK184	51	0	0	0
pK184	52	0	0	0
pK184	53	0	0	0
pK184	54	0	0	0
pK184	55	0	0	0
pK184	56	0	0	0
pK184	57	0	0	0
pK184	58	0	0	0
pK184	59	0	0	0
pK184	60	0	0	0
pK184	61	0	0	0
pK184	62	0	0	0
pK184	63	1	0	1
pK184	64	0	0	0
pK184	65	0	0	0
pK184	66	0	0	0
pK184	67	0	0	0
pK184	68	0	0	0
pK184	69	0	0	0
pK184	70	1	0	1
pK184	71	0	0	0
pK184	72	1	0	1
pK184	73	0	0	0
pK184	74	0	0	0
pK184	75	0	0	0
pK184	76	0	0	0
pK184	77	0	0	0
pK184	78	0	0	0
pK184	79	0	0	0
pK184	80	0	0	0
pK184	81	0	0	0
pK184	82	0	0	0
pK184	83	0	0	0
pK184	84	0	0	0
pK184	85	0	0	0
pK184	86	0	0	0
pK184	87	0	0	0
pK184	88	0	0	0
pK184	89	0	0	0
pK184	90	0	0	0
pK184	91	0	0	0
pK184	92	0	0	0
pK184	93	0	0	0
pK184	94	1	0	1
pK184	95	0	0	0
pK184	96	0	0	0
